data_se,y_real,y_pred,lower_bruto,upper_bruto,fase,lower_calibrado,upper_calibrado,largura_bruta,largura_calibrada,alpha
2023-01-01,12,5.476485035266375,0.05516311609454327,14.078134802150435,calibracao,0.0,46.218821220850266,14.022971686055891,46.218821220850266,0.1
2023-01-08,20,9.858912115909927,6.6897711608879815,16.61507103685129,calibracao,0.0,48.75575745555112,9.925299875963308,48.75575745555112,0.1
2023-01-15,20,16.992588337374336,10.705318605329158,19.53284747329637,calibracao,0.0,51.6735338919962,8.827528867967214,51.6735338919962,0.1
2023-01-22,16,20.026302051850585,18.91673595138239,26.752399003175626,calibracao,0.0,58.893085421875455,7.835663051793237,58.893085421875455,0.1
2023-01-29,26,22.075249038443374,15.121745773460326,29.50283554898169,calibracao,0.0,61.64352196768152,14.381089775521364,61.64352196768152,0.1
2023-02-05,58,35.148028685557115,24.98594474387746,38.48178926065843,calibracao,0.0,70.62247567935826,13.49584451678097,70.62247567935826,0.1
2023-02-12,51,61.07216199471267,32.568385479037666,80.54878592365829,calibracao,0.42769906033783656,112.68947234235812,47.98040044462062,112.26177328202027,0.1
2023-02-19,46,44.25162594181532,40.63345926819593,78.50262670157981,calibracao,8.492772849496099,110.64331312027964,37.869167433383886,102.15054027078355,0.1
2023-02-26,78,69.70245189888668,42.49834352918363,69.70245189888668,calibracao,10.3576571104838,101.84313831758651,27.20410836970305,91.48548120710271,0.1
2023-03-05,94,73.59358592328874,41.9324987609173,151.70929689189052,calibracao,9.791812342217469,183.84998331059035,109.77679813097322,174.05817096837288,0.1
2023-03-12,124,71.84596613892961,42.350101274604505,130.8570948914482,calibracao,10.209414855904676,162.99778131014804,88.50699361684372,152.78836645424337,0.1
2023-03-19,110,84.13720753334367,45.93235549139917,134.79149463550922,calibracao,13.791669072699342,166.93218105420905,88.85913914411006,153.14051198150972,0.1
2023-03-26,107,105.70575105858478,45.55325222773092,142.37924087498212,calibracao,13.412565809031094,174.51992729368195,96.8259886472512,161.10736148465085,0.1
2023-04-02,82,78.09667811863515,40.95564191464486,139.1644239157511,calibracao,8.814955495945028,171.30511033445092,98.20878200110623,162.49015483850587,0.1
2023-04-09,138,70.0733500122315,26.80649343812234,103.25585686868253,calibracao,0.0,135.39654328738237,76.44936343056018,135.39654328738237,0.1
2023-04-16,180,84.95587122403848,36.370071703572194,131.10593666202615,calibracao,4.2293852848723645,163.24662308072598,94.73586495845396,159.01723779585362,0.1
2023-04-23,193,92.18734731188181,46.73313463582838,160.85931358130017,calibracao,14.592448217128549,193.0,114.12617894547179,178.40755178287145,0.1
2023-04-30,204,100.49650718193551,38.06652752087785,176.96689944548945,calibracao,5.925841102178019,209.10758586418928,138.9003719246116,203.18174476201125,0.1
2023-05-07,161,108.9536334588057,45.721911649230805,193.6631237065916,calibracao,13.581225230530976,225.80381012529142,147.9412120573608,212.22258489476044,0.1
