fold,mae,rmse,r2,smape
1,51.71342119957263,86.77955330730968,0.12213032906036747,57.06022467433427
2,11.87265640993132,18.046254019172334,0.7500440590913161,34.86263799402022
3,18.35929901898227,28.17351764527511,0.8137184308334127,35.98975811039898
4,15.643836271504973,26.59838696168623,0.8522349701732349,25.501400934344147
5,24.535989290676692,40.61426952937067,0.8653783952801317,29.599937713931578
