fold,mae,rmse,r2,mape,smape
1,55.969599355200074,93.63899301837253,-0.07896955299087138,54.638432493313715,59.9168487489556
2,11.06334025215891,16.93300843443276,0.7848712815506622,51.17723358577526,35.15285212263573
3,19.094112714652926,28.297190054170287,0.8098679238264432,67.32139667581882,38.521581240090846
4,15.493993927691045,26.114980877867268,0.856413434165406,34.25437454527346,26.09072799428257
5,24.241902714494785,40.24475708973635,0.8666804453788166,39.590928567952844,29.834993527489477
