data_previsao,data_alvo,horizonte,municipio_id,y_real,y_pred_recursivo,y_naive,y_mm4,y_pred_direto,ano_alvo,periodo
2023-02-12,2023-03-05,4,5103403,58,51.10633553238242,46,23.75,32.952402407701584,2023,2023
2023-02-12,2023-03-05,4,5108402,36,24.199169764767362,12,6.25,16.250273059845995,2023,2023
2023-02-19,2023-02-19,1,5103403,40,38.415586147716475,42,30.25,41.81625298461836,2023,2023
2023-02-19,2023-02-19,1,5108402,6,8.956394738467376,9,7.5,7.690582844492166,2023,2023
2023-02-19,2023-02-26,2,5103403,53,36.38769319577928,42,30.25,41.121426293794705,2023,2023
2023-02-19,2023-02-26,2,5108402,25,17.029741149783863,9,7.5,14.321827774410247,2023,2023
2023-02-19,2023-03-05,3,5103403,58,46.943379221502866,42,30.25,35.817917886522544,2023,2023
2023-02-19,2023-03-05,3,5108402,36,23.655856205118276,9,7.5,18.39691080941274,2023,2023
2023-02-19,2023-03-12,4,5103403,85,59.139246745811526,42,30.25,42.373722741041675,2023,2023
2023-02-19,2023-03-12,4,5108402,39,33.54696346744969,9,7.5,24.61120689950809,2023,2023
2023-02-26,2023-02-26,1,5103403,53,40.23730367525484,40,37.75,49.52720199751313,2023,2023
2023-02-26,2023-02-26,1,5108402,25,16.30227400580608,6,7.5,23.462478634936566,2023,2023
2023-02-26,2023-03-05,2,5103403,58,48.04842735284121,40,37.75,46.81680463302744,2023,2023
2023-02-26,2023-03-05,2,5108402,36,23.346696575275466,6,7.5,17.980216356397126,2023,2023
2023-02-26,2023-03-12,3,5103403,85,59.12226850360583,40,37.75,53.98301627500572,2023,2023
2023-02-26,2023-03-12,3,5108402,39,28.774194709103675,6,7.5,31.611110340111125,2023,2023
2023-02-26,2023-03-19,4,5103403,57,55.37533397681677,40,37.75,59.35479647385077,2023,2023
2023-02-26,2023-03-19,4,5108402,53,38.63333809286515,6,7.5,36.53143382435463,2023,2023
2023-03-05,2023-03-05,1,5103403,58,44.60155970847763,53,45.25,42.6749051632863,2023,2023
2023-03-05,2023-03-05,1,5108402,36,23.805884871534477,25,13.0,17.396783556964586,2023,2023
2023-03-05,2023-03-12,2,5103403,85,61.79082023480412,53,45.25,49.54174836023919,2023,2023
2023-03-05,2023-03-12,2,5108402,39,30.363269830257778,25,13.0,34.97487212352298,2023,2023
2023-03-05,2023-03-19,3,5103403,57,53.81657576298151,53,45.25,50.97395968407596,2023,2023
2023-03-05,2023-03-19,3,5108402,53,38.61726060439492,25,13.0,58.23017001274293,2023,2023
2023-03-05,2023-03-26,4,5103403,80,67.01628622675756,53,45.25,42.78470631356245,2023,2023
2023-03-05,2023-03-26,4,5108402,27,44.32901802014398,25,13.0,39.99833517541616,2023,2023
2023-03-12,2023-03-12,1,5103403,85,66.48461214403713,58,48.25,62.37362046173219,2023,2023
2023-03-12,2023-03-12,1,5108402,39,30.641528836067465,36,19.0,47.63847564572917,2023,2023
2023-03-12,2023-03-19,2,5103403,57,59.6509574572068,58,48.25,54.82306576685993,2023,2023
2023-03-12,2023-03-19,2,5108402,53,40.55836943889323,36,19.0,49.23455668992667,2023,2023
2023-03-12,2023-03-26,3,5103403,80,69.11544576630693,58,48.25,69.69599836153172,2023,2023
2023-03-12,2023-03-26,3,5108402,27,43.644011975317376,36,19.0,59.14126191181687,2023,2023
2023-03-12,2023-04-02,4,5103403,64,63.4021286560199,58,48.25,42.912524786809385,2023,2023
2023-03-12,2023-04-02,4,5108402,18,27.767576246160964,36,19.0,42.89230649331721,2023,2023
2023-03-19,2023-03-19,1,5103403,57,59.45810184161002,85,59.0,63.01236352472735,2023,2023
2023-03-19,2023-03-19,1,5108402,53,34.25865663037971,39,26.5,50.941261185585006,2023,2023
2023-03-19,2023-03-26,2,5103403,80,64.77906449920177,85,59.0,54.210394146022395,2023,2023
2023-03-19,2023-03-26,2,5108402,27,38.20380754061082,39,26.5,47.61397414752924,2023,2023
2023-03-19,2023-04-02,3,5103403,64,65.17675857110167,85,59.0,47.482625697490704,2023,2023
2023-03-19,2023-04-02,3,5108402,18,25.764519593357974,39,26.5,33.66147834128123,2023,2023
2023-03-19,2023-04-09,4,5103403,80,65.73579983046945,85,59.0,41.60245930507031,2023,2023
2023-03-19,2023-04-09,4,5108402,58,21.77642730760459,39,26.5,45.529025024795864,2023,2023
2023-03-26,2023-03-26,1,5103403,80,71.37022508482346,57,63.25,48.60957993821155,2023,2023
2023-03-26,2023-03-26,1,5108402,27,46.51472122989522,53,38.25,43.18287582015152,2023,2023
2023-03-26,2023-04-02,2,5103403,64,64.28690577695173,57,63.25,38.871261040511705,2023,2023
2023-03-26,2023-04-02,2,5108402,18,29.18243867476922,53,38.25,38.81758290829813,2023,2023
2023-03-26,2023-04-09,3,5103403,80,62.17384418519015,57,63.25,28.91409933345987,2023,2023
2023-03-26,2023-04-09,3,5108402,58,22.645593210977395,53,38.25,44.64577576704471,2023,2023
2023-03-26,2023-04-16,4,5103403,79,68.18469131688644,57,63.25,43.251346847138926,2023,2023
2023-03-26,2023-04-16,4,5108402,101,50.45577512423734,53,38.25,43.86156137189326,2023,2023
