feature,shap_mean,shap_pct,rank
casos_mm4,0.8070537820793897,45.43,1
casos_lag1,0.18768558501540955,10.56,2
casos_lag2,0.06518477255267105,3.67,3
casos_lag3,0.06313379858386119,3.55,4
notif_acum_ano_lag1,0.04239270261491577,2.39,5
precip_lag2,0.04153361437423225,2.34,6
trends_lag2,0.04046293299463211,2.28,7
populacao,0.03887854692619477,2.19,8
prob_rt_maior_1_lag1,0.03307724147159933,1.86,9
precip_lag1,0.0286992304430366,1.62,10
rt_index_lag1,0.026955477219484686,1.52,11
trends_lag1,0.02538376662323257,1.43,12
precip_lag4,0.02532659564513102,1.43,13
umidade_nasa_lag1,0.025254475489772277,1.42,14
precip_acum8,0.02346017652374526,1.32,15
oni_lag8,0.022965284123968296,1.29,16
temp_media_lag3,0.022082498451315356,1.24,17
oni_lag4,0.02198811799750594,1.24,18
temp_media_lag4,0.019445095889699886,1.09,19
temp_media_lag2,0.018980541523988703,1.07,20
temp_min_lag2,0.018964140495566575,1.07,21
radiacao_lag1,0.018903314915409627,1.06,22
umidade_lag2,0.017552159868922317,0.99,23
temp_max_lag1,0.016543236655244778,0.93,24
umidade_nasa_lag2,0.016358863284746977,0.92,25
umidade_lag1,0.014943835036467384,0.84,26
precip_acum4,0.012747056526450315,0.72,27
radiacao_lag2,0.012242540714656221,0.69,28
temp_min_lag1,0.011915930598169247,0.67,29
temp_media_lag1,0.010609824936100602,0.6,30
temp_max_lag2,0.010515043727122194,0.59,31
temp_media_mm8,0.009786318695868592,0.55,32
temp_media_mm4,0.007805052346634417,0.44,33
casos_lag4,0.005916062752793147,0.33,34
precip_lag3,0.005141536856001146,0.29,35
oni_lag6,0.004191709190703355,0.24,36
nivel_alerta_lag1,0.001676385803159302,0.09,37
receptivo_lag1,0.0008093817833290811,0.05,38
fase_enso_num_lag6,9.31573581469356e-05,0.01,39
transmissao_lag1,0.0,0.0,40
evi_lag2,0.0,0.0,41
ndvi_lag2,0.0,0.0,42
fase_enso_num_lag4,0.0,0.0,43
ndvi_lag4,0.0,0.0,44
ndvi_lag3,0.0,0.0,45
evi_lag3,0.0,0.0,46
