feature,shap_mean_abs
casos_mm4,0.6709326762941841
casos_lag1,0.22218874047034498
temp_media_mm8,0.04249454275529654
casos_lag2,0.03943024350611459
temp_media_mm4,0.029927530397372136
oni_lag8,0.027949830019297874
rt_index_lag1,0.027661778514983578
casos_lag3,0.02750834156206731
prob_rt_maior_1_lag1,0.02738567020016665
trends_lag1,0.025261561280993907
radiacao_lag2,0.02322173663011284
radiacao_lag1,0.022848662151775834
precip_acum4,0.022194992121862208
oni_lag4,0.021732856426220557
temp_media_lag4,0.021519282215934875
temp_media_lag2,0.020542756284225826
casos_lag4,0.020319327124984205
precip_lag1,0.01710737078032346
trends_lag2,0.016647366368088803
umidade_lag2,0.01662396034556273
precip_lag4,0.015933801514963507
oni_lag6,0.014797086559480026
umidade_lag1,0.014449740327676782
receptivo_lag1,0.014086474128506435
temp_media_lag1,0.01201228697390404
temp_media_lag3,0.011962510894701555
temp_min_lag1,0.011945299398123438
precip_lag2,0.011065150999956929
notif_acum_ano_lag1,0.010921823693134948
temp_max_lag1,0.010661892097258591
temp_min_lag2,0.010268525889478275
precip_acum8,0.010020010971274158
temp_max_lag2,0.009998408684308758
umidade_nasa_lag2,0.009594441713457748
populacao,0.00897387300888036
precip_lag3,0.007835372627212385
umidade_nasa_lag1,0.006034524685181053
transmissao_lag1,0.0017492517854401988
nivel_alerta_lag1,0.0008486025151859176
ndvi_lag4,0.0
evi_lag2,0.0
ndvi_lag2,0.0
fase_enso_num_lag6,0.0
fase_enso_num_lag4,0.0
ndvi_lag3,0.0
evi_lag3,0.0
