fold,train_size,val_size,mae,rmse,r2
1,377,373,67.4931640625,106.47635814466045,-0.43706488609313965
2,750,373,12.207295417785645,17.5288084237309,0.7702564597129822
3,1123,373,20.172277450561523,33.14931301135817,0.7400620579719543
4,1496,373,15.931750297546387,25.40634008863179,0.8624668121337891
5,1869,373,25.52872657775879,42.872853217027085,0.8480507135391235
