modelo,fold,mae,rmse,r2
XGBoost_opt,1,63.57049560546875,101.85231726008986,-0.31495773792266846
LightGBM_opt,1,63.11542401136519,101.45952089632861,-0.30483509926702723
XGBoost_opt,2,11.357900619506836,17.261721843884086,0.7772043347358704
LightGBM_opt,2,11.712466115040288,17.48711146889414,0.7713481828006931
XGBoost_opt,3,18.420053482055664,29.902448613875567,0.7884884476661682
LightGBM_opt,3,17.032082874765003,25.972142326278775,0.840435545896387
XGBoost_opt,4,15.060748100280762,25.298772560470326,0.8636289238929749
LightGBM_opt,4,16.22583425147225,26.796941726945068,0.8469991433262601
XGBoost_opt,5,24.41199493408203,40.46976802532277,0.8646072745323181
LightGBM_opt,5,24.776105122080388,41.07246835129441,0.8605445142058996
