modelo,mae,rmse,r2
LSTM_v1,41.76692940408339,61.81192882149389,0.6533414611549446
LSTM_v2,38.75373687485809,60.997874410799994,0.6636110900667687
CNN_BiLSTM,33.33567022362358,51.9190518394051,0.7562942522948704
LightGBM_opt,21.83,37.78,0.871
Ensemble_90_10,21.91,,0.8725
