feature,shap_mean_abs
precip_acum8,0.3478346455732484
notif_acum_ano_lag1,0.3309366205539505
populacao,0.15551269355950065
casos_mm4,0.08470051543910997
precip_lag2,0.07830988173692965
temp_max_lag2,0.06999962527073637
temp_min_lag1,0.06545441618628808
oni_lag4,0.056808489348343996
precip_acum4,0.05664180543267974
nivel_alerta_lag1,0.049737850649038504
temp_media_mm8,0.04905600446105936
casos_lag4,0.04743194098274142
temp_min_lag2,0.04427832522606233
rt_index_lag1,0.04390125626782163
umidade_lag1,0.03952557200535862
radiacao_lag2,0.036095433014085826
umidade_nasa_lag2,0.0357141101936536
umidade_lag2,0.03520471339001085
temp_max_lag1,0.0351503043832137
prob_rt_maior_1_lag1,0.034051018826041696
trends_lag2,0.03231241534329351
temp_media_mm4,0.03167208880135211
trends_lag1,0.030460296900134874
oni_lag6,0.028190417694401858
temp_media_lag1,0.02780730198243076
temp_media_lag3,0.02773092124496732
casos_lag2,0.02754980482552818
temp_media_lag2,0.025149106453868125
casos_lag3,0.02424144310335736
oni_lag8,0.02279367818284545
radiacao_lag1,0.022114946344032993
temp_media_lag4,0.021628561331135703
precip_lag3,0.020132926812139115
umidade_nasa_lag1,0.01919350163009165
precip_lag4,0.019062200639396003
casos_lag1,0.017650597984834825
precip_lag1,0.017148318479399457
receptivo_lag1,0.008426624442956564
transmissao_lag1,0.0
ndvi_lag4,0.0
evi_lag2,0.0
ndvi_lag2,0.0
fase_enso_num_lag6,0.0
fase_enso_num_lag4,0.0
ndvi_lag3,0.0
evi_lag3,0.0
