feature,shap_mean_abs
casos_mm4,0.41289951105767714
notif_acum_ano_lag1,0.2076416433250214
casos_lag1,0.15468932473357622
precip_acum4,0.08133401587839491
temp_min_lag2,0.08097377948926217
trends_lag1,0.06859724427952062
populacao,0.057624291370073896
rt_index_lag1,0.050311536473565385
precip_acum8,0.047975987371492626
temp_media_mm4,0.046805971791613867
temp_media_lag3,0.040737961814395575
radiacao_lag2,0.03998405127566625
umidade_nasa_lag1,0.039099166244428586
temp_max_lag1,0.03619688967987884
umidade_lag2,0.03577269539549658
receptivo_lag1,0.03404397606232588
casos_lag2,0.033902116403284915
temp_media_lag4,0.03338407363489004
temp_max_lag2,0.03229296515104732
umidade_nasa_lag2,0.032101523716723576
trends_lag2,0.031130263635669942
temp_min_lag1,0.03067102243497552
umidade_lag1,0.029681938001096538
prob_rt_maior_1_lag1,0.02937371544790542
casos_lag4,0.026409281159948703
nivel_alerta_lag1,0.026266646689798716
oni_lag8,0.02625750106422246
temp_media_mm8,0.025808719556475082
oni_lag6,0.025108486672308247
precip_lag2,0.025031114765731888
precip_lag3,0.02455314759867037
temp_media_lag1,0.023911680820174003
casos_lag3,0.022525589937241974
oni_lag4,0.022411012468085016
precip_lag4,0.022350242616015353
precip_lag1,0.021697746533168596
radiacao_lag1,0.02018998134666042
temp_media_lag2,0.01732784260061323
transmissao_lag1,0.004783905455608307
ndvi_lag4,0.0
evi_lag2,0.0
ndvi_lag2,0.0
fase_enso_num_lag6,0.0
fase_enso_num_lag4,0.0
ndvi_lag3,0.0
evi_lag3,0.0
