feature,shap_mean_abs
casos_mm4,0.6302384384601201
notif_acum_ano_lag1,0.06013590195928633
casos_lag1,0.05869449248944422
trends_lag1,0.05236140951791897
temp_media_lag4,0.047079996653673205
temp_max_lag2,0.04698803235290636
temp_media_mm8,0.043317182880688546
temp_media_lag3,0.04215012208409481
oni_lag4,0.04200639365896387
temp_min_lag2,0.037006464964304514
rt_index_lag1,0.03526894465962811
umidade_lag1,0.034941245268629975
trends_lag2,0.03349995575686265
temp_media_lag1,0.03303815366162589
umidade_lag2,0.03294875511702953
prob_rt_maior_1_lag1,0.030230237792881812
nivel_alerta_lag1,0.030146963719146522
temp_max_lag1,0.02909199979057021
precip_lag3,0.028535852357243915
casos_lag3,0.027640770881872154
casos_lag4,0.027265243857437144
temp_media_lag2,0.026020717635498465
precip_acum8,0.02538084349351105
temp_media_mm4,0.023059252010834044
temp_min_lag1,0.022088520501174425
precip_lag1,0.020832093907054455
oni_lag8,0.020775181741525338
casos_lag2,0.019071298970647417
oni_lag6,0.018938160994907687
umidade_nasa_lag1,0.017827394353477504
precip_lag2,0.016695995975063372
radiacao_lag2,0.0166108840221764
radiacao_lag1,0.016578294851244263
precip_lag4,0.01644489314678606
precip_acum4,0.015826897455391283
umidade_nasa_lag2,0.013005718913727624
populacao,0.005856033932151095
receptivo_lag1,0.00214507649396535
transmissao_lag1,0.0
ndvi_lag4,0.0
evi_lag2,0.0
ndvi_lag2,0.0
fase_enso_num_lag6,0.0
fase_enso_num_lag4,0.0
ndvi_lag3,0.0
evi_lag3,0.0
