feature,shap_mean_abs,horizonte,label
temp_min_lag1,0.03067102243497552,4,temp_min_lag1
umidade_lag1,0.029681938001096538,4,umidade_lag1
prob_rt_maior_1_lag1,0.02937371544790542,4,prob_rt_maior_1_lag1
casos_lag4,0.026409281159948703,4,Casos (lag 4 SE)
nivel_alerta_lag1,0.026266646689798716,4,nivel_alerta_lag1
oni_lag8,0.02625750106422246,4,oni_lag8
temp_media_mm8,0.025808719556475082,4,temp_media_mm8
oni_lag6,0.025108486672308247,4,oni_lag6
precip_lag2,0.025031114765731888,4,precip_lag2
precip_lag3,0.02455314759867037,4,precip_lag3
temp_media_lag1,0.023911680820174003,4,temp_media_lag1
casos_lag3,0.022525589937241974,4,casos_lag3
oni_lag4,0.022411012468085016,4,oni_lag4
precip_lag4,0.022350242616015353,4,precip_lag4
precip_lag1,0.021697746533168596,4,precip_lag1
radiacao_lag1,0.02018998134666042,4,radiacao_lag1
temp_media_lag2,0.01732784260061323,4,temp_media_lag2
transmissao_lag1,0.004783905455608307,4,transmissao_lag1
ndvi_lag4,0.0,4,ndvi_lag4
evi_lag2,0.0,4,evi_lag2
ndvi_lag2,0.0,4,ndvi_lag2
fase_enso_num_lag6,0.0,4,fase_enso_num_lag6
fase_enso_num_lag4,0.0,4,fase_enso_num_lag4
ndvi_lag3,0.0,4,ndvi_lag3
evi_lag3,0.0,4,evi_lag3
notif_acum_ano_lag1,0.3885430398166523,8,notif_acum_ano_lag1
precip_acum8,0.334561353549617,8,precip_acum8
populacao,0.170918368619771,8,População
casos_mm4,0.08540645773423372,8,Casos MM4
precip_lag2,0.07727334248112468,8,precip_lag2
temp_max_lag2,0.06632610834029395,8,temp_max_lag2
temp_min_lag1,0.058330624434727606,8,temp_min_lag1
temp_media_mm8,0.054958037386368896,8,temp_media_mm8
oni_lag4,0.053783133223793675,8,oni_lag4
precip_acum4,0.05220555363541599,8,precip_acum4
nivel_alerta_lag1,0.050935843578460704,8,nivel_alerta_lag1
temp_min_lag2,0.04312204568727865,8,temp_min_lag2
rt_index_lag1,0.04201382112728005,8,rt_index_lag1
umidade_lag1,0.04190472014594882,8,umidade_lag1
casos_lag4,0.040569829142447285,8,Casos (lag 4 SE)
umidade_lag2,0.038898765213328954,8,umidade_lag2
umidade_nasa_lag2,0.03681724454183835,8,umidade_nasa_lag2
temp_max_lag1,0.03588600527091744,8,temp_max_lag1
prob_rt_maior_1_lag1,0.034982193493275485,8,prob_rt_maior_1_lag1
radiacao_lag2,0.03480511015034438,8,radiacao_lag2
temp_media_mm4,0.034411898300529764,8,temp_media_mm4
trends_lag2,0.033963545197590594,8,trends_lag2
trends_lag1,0.03379589774113019,8,trends_lag1
temp_media_lag1,0.03179883619997576,8,temp_media_lag1
temp_media_lag3,0.030504350464389457,8,temp_media_lag3
casos_lag2,0.02976477429020148,8,Casos (lag 2 SE)
oni_lag6,0.028463460412967823,8,oni_lag6
temp_media_lag2,0.02420519419792236,8,temp_media_lag2
temp_media_lag4,0.02392676646082402,8,temp_media_lag4
casos_lag3,0.023660160519101834,8,casos_lag3
oni_lag8,0.022966018280960634,8,oni_lag8
radiacao_lag1,0.02224721974002939,8,radiacao_lag1
precip_lag3,0.020560585724321727,8,precip_lag3
umidade_nasa_lag1,0.01914522321426555,8,umidade_nasa_lag1
precip_lag4,0.018713229087282894,8,precip_lag4
precip_lag1,0.017760677646968304,8,precip_lag1
casos_lag1,0.017710021391030967,8,Casos (lag 1 SE)
receptivo_lag1,0.008234978079259067,8,receptivo_lag1
transmissao_lag1,0.0,8,transmissao_lag1
ndvi_lag4,0.0,8,ndvi_lag4
evi_lag2,0.0,8,evi_lag2
ndvi_lag2,0.0,8,ndvi_lag2
fase_enso_num_lag6,0.0,8,fase_enso_num_lag6
fase_enso_num_lag4,0.0,8,fase_enso_num_lag4
ndvi_lag3,0.0,8,ndvi_lag3
evi_lag3,0.0,8,evi_lag3
