feature,shap_mean_abs
casos_mm4,0.6923134380366591
notif_acum_ano_lag1,0.06907401223298877
casos_lag1,0.06358569417994529
trends_lag1,0.052946765578082346
temp_media_mm8,0.04653165472939251
temp_media_lag4,0.046259236244966265
temp_max_lag2,0.04433004312289953
temp_media_lag3,0.04390018067337131
oni_lag4,0.04280297885515132
trends_lag2,0.03976589883943374
temp_min_lag2,0.03726284886415117
temp_media_lag1,0.03573961258139967
rt_index_lag1,0.03535945204773215
umidade_lag1,0.0327191445556527
umidade_lag2,0.03253606028317242
precip_lag3,0.030260206112615123
nivel_alerta_lag1,0.02991628563430645
prob_rt_maior_1_lag1,0.028997246010601194
temp_max_lag1,0.028934057463456314
temp_media_lag2,0.027017837814063736
casos_lag4,0.026640439357326226
casos_lag3,0.026622060119465687
precip_acum8,0.02481478127836352
temp_min_lag1,0.023753955773532974
temp_media_mm4,0.023249444027501075
casos_lag2,0.02227255755774197
oni_lag8,0.020696771438839343
precip_lag1,0.020613865502004437
umidade_nasa_lag1,0.019631754319270493
oni_lag6,0.01907856943484147
precip_lag4,0.01788482838729423
precip_lag2,0.01693177341105857
radiacao_lag2,0.016738084319645786
radiacao_lag1,0.01664111949331176
precip_acum4,0.015825891658719147
umidade_nasa_lag2,0.0140175351417497
populacao,0.006158648653526997
receptivo_lag1,0.002272527691263842
transmissao_lag1,0.0
ndvi_lag4,0.0
evi_lag2,0.0
ndvi_lag2,0.0
fase_enso_num_lag6,0.0
fase_enso_num_lag4,0.0
ndvi_lag3,0.0
evi_lag3,0.0
