feature,shap_mean_abs
casos_mm4,0.45264513657874866
notif_acum_ano_lag1,0.22528074175128446
casos_lag1,0.16204223828135542
temp_min_lag2,0.08314530386842063
precip_acum4,0.07369355420792943
populacao,0.0711169236911968
trends_lag1,0.06952457358671182
rt_index_lag1,0.04869875064439555
temp_media_mm4,0.04595010108778843
precip_acum8,0.04461334163407691
radiacao_lag2,0.04220261106345603
umidade_nasa_lag1,0.04136435115430517
temp_media_lag3,0.04085184776606823
temp_max_lag1,0.0369328462610874
casos_lag2,0.03572520038458477
receptivo_lag1,0.03558993769867
umidade_lag2,0.035292811247577556
umidade_nasa_lag2,0.0346207352087112
temp_media_lag4,0.03435616596906625
trends_lag2,0.03310340472038393
temp_max_lag2,0.03063278910864023
umidade_lag1,0.03033617368600339
temp_min_lag1,0.029764805276144175
prob_rt_maior_1_lag1,0.0284487978606992
temp_media_mm8,0.02716012832086024
oni_lag8,0.026919047735060448
casos_lag4,0.026402576569872303
nivel_alerta_lag1,0.026185683505227774
precip_lag2,0.026080922999046796
temp_media_lag1,0.025225881299828116
precip_lag3,0.024691307700461053
precip_lag4,0.024015884017456614
oni_lag4,0.023016749182430334
oni_lag6,0.022517994141754056
casos_lag3,0.02169950875870855
radiacao_lag1,0.02149872623839819
precip_lag1,0.02089600811759485
temp_media_lag2,0.017808907247065606
transmissao_lag1,0.004848691369070608
ndvi_lag4,0.0
evi_lag2,0.0
ndvi_lag2,0.0
fase_enso_num_lag6,0.0
fase_enso_num_lag4,0.0
ndvi_lag3,0.0
evi_lag3,0.0
